類別,法規名稱,狀態,官方來源,檔案,附件數,基本資料
全國性法律,專科以上學校教保相關系科評鑑辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001737,全國性法律\專科以上學校教保相關系科評鑑辦法.html,2,法規名稱： 專科以上學校教保相關系科評鑑辦法 公發布日： 民國 107 年 04 月 02 日 修正日期： 民國 113 年 03 月 12 日 發文字號： 臺教師（二）字第1132600529A號 令 法規體系： 師資培育及藝術教育 立法理由： 專科以上學校教保相關系科評鑑辦法總說明及逐條說明.pdf 1130312立法理由.pdf
全國性法律,就讀私立幼兒園社會福利機構之身心障礙幼兒及招收單位獎補助辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000468,全國性法律\就讀私立幼兒園社會福利機構之身心障礙幼兒及招收單位獎補助辦法.html,4,法規名稱： 就讀私立幼兒園社會福利機構之身心障礙幼兒及招收單位獎補助辦法 公發布日： 民國 99 年 11 月 02 日 修正日期： 民國 114 年 12 月 31 日 發文字號： 臺教授國部字第1145603176A號 令 法規體系： 國民及學前教育 立法理由： 0991102立法理由.pdf 1021120立法理由.pdf 1120923立法理由.pdf 1141231立法理由.pdf
全國性法律,師資培育之大學辦理高級中等以下學校及幼兒園教師在職進修學分班計畫審查要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL023399,全國性法律\師資培育之大學辦理高級中等以下學校及幼兒園教師在職進修學分班計畫審查要點.html,7,法規名稱： 師資培育之大學辦理高級中等以下學校及幼兒園教師在職進修學分班計畫審查要點 公發布日： 民國 87 年 05 月 12 日 修正日期： 民國 111 年 06 月 28 日 發文字號： 臺教師（三）字第1112600779A號 令 法規體系： 師資培育及藝術教育 圖表附件： 行政院公報電子檔.pdf 附件一（校名）辦理○○○學年度高級中等以下學校及幼稚園教師在職進修學分班開班計畫表﹝一式二份﹞.DOC 附件二（單位名稱）　辦理　年度（班別名稱）班實施計畫.DOC 附件三﹝校名﹞○○○學年度高級中等以下學校及幼稚園教師在職進修學分班辦理情形彙整表.DOC 附件四.doc 附件五.doc (111.06.28)附件1~5.pdf
全國性法律,師資培育法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL008769,全國性法律\師資培育法.html,0,法規名稱： 師資培育法 英 公發布日： 民國 68 年 11 月 21 日 修正日期： 民國 108 年 12 月 11 日 發文字號： 華總一義字第10800134431號 令 法規體系： 師資培育及藝術教育
全國性法律,師資培育法施行細則,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL008776,全國性法律\師資培育法施行細則.html,3,法規名稱： 師資培育法施行細則 公發布日： 民國 84 年 02 月 22 日 修正日期： 民國 107 年 01 月 18 日 發文字號： 臺教師(二)字第1060193270B號 令 法規體系： 師資培育及藝術教育 立法理由： 0980826立法理由.pdf 1000104立法理由.pdf 1000118立法理由.pdf
全國性法律,幼兒園不適任教保服務人員之通報與資訊蒐集及查詢辦法,已廢止或停止適用，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001741,,0,法規名稱： 廢 幼兒園不適任教保服務人員之通報與資訊蒐集及查詢辦法 公發布日： 民國 107 年 03 月 29 日 廢止日期： 民國 112 年 02 月 27 日 發文字號： 臺教授國部字第1120017259A號 令 法規體系： 國民及學前教育 立法理由： 幼兒園不適任教保服務人員之通報與資訊蒐集及查詢辦法總說明及逐條說明.pdf
全國性法律,幼兒園兼辦國民小學兒童課後照顧服務辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000622,全國性法律\幼兒園兼辦國民小學兒童課後照顧服務辦法.html,4,法規名稱： 幼兒園兼辦國民小學兒童課後照顧服務辦法 公發布日： 民國 101 年 03 月 19 日 修正日期： 民國 112 年 02 月 27 日 發文字號： 臺教授國部字第1120015550A號 令 法規體系： 國民及學前教育 立法理由： 1030117立法理由.pdf 1041103立法理由.pdf (112.2.27)幼兒園兼辦國民小學兒童課後照顧服務辦法第一條、第二條、第十條修正總說明及對照表.pdf 1080507立法理由.pdf
全國性法律,幼兒園及其分班基本設施設備標準,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000628,全國性法律\幼兒園及其分班基本設施設備標準.html,6,法規名稱： 幼兒園及其分班基本設施設備標準 公發布日： 民國 101 年 04 月 03 日 修正日期： 民國 115 年 07 月 24 日 發文字號： 臺教授國部字第1155601667A號 令 法規體系： 國民及學前教育 立法理由： 1010403立法理由.pdf 1010815立法理由.pdf 1010815勘誤表.pdf 1080710立法理由.pdf 1150724立法理由.pdf 圖表附件： 1150724第24條附表修正規定.pdf
全國性法律,幼兒園園長專業訓練辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000673,全國性法律\幼兒園園長專業訓練辦法.html,5,法規名稱： 幼兒園園長專業訓練辦法 公發布日： 民國 101 年 07 月 18 日 修正日期： 民國 114 年 08 月 21 日 發文字號： 臺教授國部字第1145601967A號 令 法規體系： 國民及學前教育 立法理由： 1010718立法理由.pdf 1080327立法理由.pdf 1120227立法理由.pdf 1140821立法理由.pdf 圖表附件： 1140821第5條附表.pdf
全國性法律,幼兒園在職人員修習幼兒園教師師資職前教育課程辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL025745,全國性法律\幼兒園在職人員修習幼兒園教師師資職前教育課程辦法.html,1,法規名稱： 幼兒園在職人員修習幼兒園教師師資職前教育課程辦法 公發布日： 民國 92 年 08 月 01 日 修正日期： 民國 107 年 04 月 02 日 發文字號： 臺教師(二)字第1070034639B號 令 法規體系： 師資培育及藝術教育 立法理由： 幼兒園在職人員修習幼兒園教師師資職前教育課程辦法總說明及對照表.pdf
全國性法律,幼兒園在職教保員修習幼兒園師資職前教育課程專班學分費補助辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001506,全國性法律\幼兒園在職教保員修習幼兒園師資職前教育課程專班學分費補助辦法.html,5,法規名稱： 幼兒園在職教保員修習幼兒園師資職前教育課程專班學分費補助辦法 公發布日： 民國 104 年 12 月 28 日 修正日期： 民國 112 年 02 月 27 日 發文字號： 臺教師（二）字第1122600410A號 令 法規體系： 師資培育及藝術教育 立法理由： 1041228立法理由.pdf 1060822立法理由.pdf 1070330立法理由.pdf 1070727立法理由.pdf (112.2.27)幼兒園在職教保員修習幼兒園師資職前教育課程專班學分費補助辦法第一條、第二條修正總說明及對照表.pdf
全國性法律,幼兒園幼童專用車輛與其駕駛人及隨車人員督導管理辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000661,全國性法律\幼兒園幼童專用車輛與其駕駛人及隨車人員督導管理辦法.html,4,法規名稱： 幼兒園幼童專用車輛與其駕駛人及隨車人員督導管理辦法 公發布日： 民國 101 年 06 月 13 日 修正日期： 民國 112 年 02 月 27 日 發文字號： 臺教授國部字第1120013190A號;交路字第11200046351號 令 法規體系： 國民及學前教育 立法理由： 1010613立法理由.pdf 1021202立法理由.pdf 1080329立法理由.pdf (112.2.27)幼兒園幼童專用車輛與其駕駛人及隨車人員督導管理辦法部分條文修正總說明及對照表.pdf
全國性法律,幼兒園教保活動課程大綱,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001586,全國性法律\幼兒園教保活動課程大綱.html,1,法規名稱： 幼兒園教保活動課程大綱 公發布日： 民國 105 年 12 月 01 日 發文字號： 臺教授國部字第1050129763B號 令 法規體系： 國民及學前教育 圖表附件： 1051201幼兒園教保活動課程大綱.pdf
全國性法律,幼兒園教保活動課程暫行大綱,暫行舊綱，改收錄幼兒園教保活動課程大綱,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000714,,0,法規名稱： 幼兒園教保活動課程暫行大綱 公發布日： 民國 101 年 10 月 05 日 發文字號： 臺國(三)字第1010181618C號 令 法規體系： 國民及學前教育
全國性法律,幼兒園與其分班設立變更及管理辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000598,全國性法律\幼兒園與其分班設立變更及管理辦法.html,3,法規名稱： 幼兒園與其分班設立變更及管理辦法 公發布日： 民國 101 年 01 月 11 日 修正日期： 民國 112 年 02 月 27 日 發文字號： 臺教授國部字第1120014595A號 令 法規體系： 國民及學前教育 立法理由： 1100712立法理由.pdf (111.2.27)幼兒園與其分班設立變更及管理辦法部分條文修正總說明及對照表.pdf 圖表附件： 附件.odt
全國性法律,幼兒園與其分班設立變更及管理辦法第六條第一項第二款之解釋,個別解釋令或生效公告，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001265,,0,法規名稱： 廢 幼兒園與其分班設立變更及管理辦法第六條第一項第二款之解釋 公發布日： 民國 103 年 01 月 23 日 發文字號： 台教授國部字第1040056215B號令 法規體系： 國民及學前教育
全國性法律,幼兒園行政組織及員額編制標準,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000689,全國性法律\幼兒園行政組織及員額編制標準.html,5,法規名稱： 幼兒園行政組織及員額編制標準 公發布日： 民國 101 年 08 月 01 日 修正日期： 民國 114 年 07 月 31 日 發文字號： 臺教授國部字第1145601825A號 令 法規體系： 國民及學前教育 立法理由： 1010801立法理由.pdf 1080528立法理由.pdf 1080703勘誤表.pdf 1120227立法理由.pdf 1140731立法理由.pdf
全國性法律,幼兒園評鑑辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000643,全國性法律\幼兒園評鑑辦法.html,3,法規名稱： 幼兒園評鑑辦法 公發布日： 民國 101 年 05 月 04 日 修正日期： 民國 112 年 02 月 27 日 發文字號： 臺教授國部字第1120014464A號 令 法規體系： 國民及學前教育 立法理由： 1010504立法理由.pdf 1080510立法理由.pdf (112.2.27)幼兒園評鑑辦法第一條、第十一條修正總說明及對照表.pdf
全國性法律,幼兒園餐點食物內容及營養基準,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002206,全國性法律\幼兒園餐點食物內容及營養基準.html,1,法規名稱： 幼兒園餐點食物內容及營養基準 公發布日： 民國 112 年 03 月 27 日 發文字號： 臺教授國部字第1120029103A號 令 法規體系： 國民及學前教育 圖表附件： (112.3.27)幼兒園餐點食物內容及營養基準.pdf
